zM-nWQl3W6Y_170,"cattle, bovinae cowbell"
4i9DgH80kDg_30,playing banjo
MhyCM-4Qy24_205,bowling impact
KKFdi5WQ0V0_256,train horning
xS-OFkC0Yzc_21,metronome
z-tbvVNLCUk_422,forging swords
EN_fOMt-IVE_60,singing choir
o46GWTkVASI_30,wind rustling leaves
s3R9GaX6XrA_0,people burping
23FY9sjfgM8_117,ice cracking
uBaRlBqQj3A_449,sea waves
KG3ODTw7hM4_90,mouse pattering
lAQMH50jym8_0,people belly laughing
muuSxbHjipw_112,alarm clock ringing
0UJpeR9-ayg_213,lathe spinning
AIDJFkDURPY_30,lawn mowing
q_K7AV8EWks_26,playing bongo
-jaY3LS3Dv0_30,"child speech, kid speaking"
n7-lKjrJFA0_88,telephone bell ringing
ANWU9Hiy_5k_40,driving motorcycle
-u-40BIU1HE_14,cat hissing
k2j4tZRDt3U_342,lip smacking
TrvI6t4pAP0_30,rapping
i2bo1Epmgls_253,firing muskets
s9d-2nhuJCQ_30,playing drum kit
H942QC8B3bc_30,horse clip-clop
LVFYimyY7sU_30,playing accordion
JNE-lrKk6Mg_30,"playing marimba, xylophone"
OMcoFfaCaGM_30,playing synthesizer
w8r0MxrGQ18_451,playing tuning fork
4Rym4DqrhHM_30,cattle mooing
nNHE-JTZL4Y_78,parrot talking
gTFCK9TuLOQ_23,train whistling
ZQ6q-mvWhKk_116,shot football
wr72HohtJ6Q_25,people booing
rYCF5tUINZU_127,playing tuning fork
uoZwu9hqEuI_61,playing oboe
q8s1yCYp4Go_15,arc welding
gIODEFkvjTA_30,playing zither
lI3P985JB7k_149,playing double bass
B1af2O7jBGs_40,hammering nails
_hd1tNgkZz8_9,"playing violin, fiddle"
OJm4HM0or14_1,playing double bass
tYCgvipu3ko_43,snake rattling
SKt_3Nv2DHo_30,pig oinking
aqRi6eFKBcc_253,eletric blender running
jrXzvQLuC-c_0,underwater bubbling
YROOI2kKvGw_260,"playing violin, fiddle"
63Wmu5s4e88_162,tractor digging
BbWdsbZ9TsM_130,"subway, metro, underground"
dKRodtrybvM_27,cat growling
3AwevAQzwcs_30,cat meowing
iXaA7PVRhIY_24,playing table tennis
gmdmwR01IdY_40,car engine knocking
WrwRZ0NgEss_538,forging swords
awfbE0KxEjE_380,airplane flyby
ObX2V23qOMc_330,stream burbling
3JYjNHFJfO4_363,baby laughter
5tyZiD0-8z4_320,"bird chirping, tweeting"
-DwwSHC2jLs_102,playing double bass
iUoFC-GUq8o_113,sloshing water
Uw8xdpugGNc_60,opening or closing car electric windows
QTbtvbzBs00_38,"playing steel guitar, slide guitar"
46T9h0qV75g_88,roller coaster running
Hbp4cnuQS_Q_80,playing harmonica
o7I9BknIZKY_416,playing squash
c4oagWg6CWI_128,people slurping
Sj9_5H1nqfo_200,ambulance siren
WElvc92V5Q4_617,playing bassoon
